Process;ID test;Module;Rôle;Point à vérifier;Étapes;Résultat attendu;Statut;Criticité;Commentaires;Test Unitaire;Test Fonctionnel;Procédure de réalisation
Demande Projet;DEM-16;Formulaire Demande Projet;Demandeur;Soumission sans Objectifs du projet;1. Laisser le champ vide 2. Enregistrer;Blocage de l'enregistrement;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-17;Formulaire Demande Projet;Demandeur;Soumission sans Urgence;1. Ne pas sélectionner la valeur 2. Enregistrer;Message indiquant que le champ est obligatoire;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-18;Formulaire Demande Projet;Demandeur;Soumission sans Criticité;1. Ne pas sélectionner la criticité;Blocage + message d'erreur;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-19;Formulaire Demande Projet;Demandeur;Soumission sans Date souhaitée;1. Laisser vide 2. Enregistrer;Comportement conforme à la règle définie (bloquant ou facultatif);Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-20;Formulaire Demande Projet;Demandeur;Soumission sans Cahier de charges;1. Ne pas joindre de fichier 2. Enregistrer;Blocage + message demandant d'ajouter le document;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-21;Formulaire Demande Projet;Demandeur;Soumission sans Directeur métier;1. Ne pas sélectionner de directeur métier;Blocage de la soumission;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-22;Formulaire Demande Projet;Demandeur;Longueur du titre;1. Saisir un titre très long 2. Enregistrer;Aucun bug technique. Le système gère correctement la longueur;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-23;Formulaire Demande Projet;Demandeur;Caractères spéciaux;1. Saisir accents, apostrophes, slash;Les données sont enregistrées correctement;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-24;Formulaire Demande Projet;Demandeur;Upload CDC PDF;1. Joindre fichier PDF 2. Enregistrer;Upload réussi et document visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-25;Formulaire Demande Projet;Demandeur;Upload Annexe DOCX;1. Joindre fichier DOCX;Upload réussi;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-26;Formulaire Demande Projet;Demandeur;Ouverture pièce jointe;1. Ouvrir la demande créée 2. Cliquer sur le document;Le document est téléchargeable et consultable;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-27;Formulaire Demande Projet;Demandeur;Création demande valide;1. Remplir tous les champs 2. Soumettre la demande;La demande est créée dans le système;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-28;Formulaire Demande Projet;Demandeur;Statut initial de la demande;1. Ouvrir la demande créée;Statut = En attente validation Directeur métier;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-29;Portefeuille projets;Demandeur;Mise à jour du portefeuille;1. Créer une demande 2. Consulter portefeuille;La demande apparaît dans le portefeuille;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-30;Notification;Directeur métier;Notification mail;1. Créer une demande 2. Vérifier la boîte mail du directeur métier;Un mail de notification est reçu;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DM;VALM-01;Validation demandes;Directeur métier;Affichage de la liste des demandes;1. Se connecter en tant que Directeur métier 2. Ouvrir l'écran des demandes;Le directeur métier ne voit que les demandes de sa direction;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DM;VALM-02;Validation demandes;Directeur métier;Filtre statut demande;1. Ouvrir l'écran;Seules les demandes avec statut En attente validation Directeur métier sont visibles;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DM;VALM-03;Validation demandes;Directeur métier;Action Valider disponible;1. Ouvrir une demande 2. Cliquer sur Valider;Le statut devient En attente validation DSI;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-04;Portefeuille projets;Directeur métier;Synchronisation portefeuille;1. Valider une demande 2. Vérifier le portefeuille projets;Le portefeuille est mis à jour avec les nouvelles données;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DM;VALM-05;Notification;Directeur métier;Notification à la DSI;1. Valider la demande 2. Vérifier mail DSI;Un email de notification est envoyé à la DSI;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DM;VALM-06;Validation demandes;Directeur métier;Modification Titre du projet;1. Modifier le titre 2. Enregistrer;La modification est sauvegardée;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-07;Validation demandes;Directeur métier;Modification Description;1. Modifier la description 2. Enregistrer;La modification est enregistrée;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-08;Validation demandes;Directeur métier;Modification Objectifs;1. Modifier les objectifs 2. Enregistrer;Les modifications sont sauvegardées;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-09;Historique;Directeur métier;Historique des modifications;1. Consulter l'historique de la demande;L'historique contient date / auteur / commentaire;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-10;Validation demandes;Directeur métier;Demande de correction avec commentaire;1. Cliquer Demander correction 2. Saisir commentaire;Statut = Correction demandée (Directeur métier);Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-11;Validation demandes;Directeur métier;Demande de correction sans commentaire;1. Cliquer demander correction sans saisir texte;L'action est bloquée;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-12;Notification;Directeur métier;Notification au demandeur;1. Demander correction 2. Vérifier boîte mail demandeur;Le demandeur reçoit une notification;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DM;VALM-13;Validation demandes;Directeur métier;Rejet avec commentaire;1. Cliquer rejeter 2. Ajouter commentaire;Statut = Rejeté (Directeur métier);Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-14;Validation demandes;Directeur métier;Rejet sans commentaire;1. Rejeter sans commentaire;Blocage de l'action;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-15;Notification;Directeur métier;Notification après rejet;1. Rejeter demande 2. Vérifier mail demandeur;Un mail de notification est envoyé au demandeur;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Retour Demandeur;RET-01;Retour demandeur;Demandeur;Visibilité de la demande retournée;1. Se connecter en tant que demandeur 2. Ouvrir la liste des demandes;La demande retournée apparaît avec le statut Correction demandée (Directeur métier);Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Retour Demandeur;RET-02;Retour demandeur;Demandeur;Affichage du commentaire du Directeur métier;1. Ouvrir la demande retournée;Le commentaire du Directeur métier est visible dans la demande;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Retour Demandeur;RET-03;Correction;Demandeur;Modification des champs demandés;1. Modifier les champs indiqués par le directeur métier 2. Enregistrer;Les modifications sont enregistrées correctement;Non testé;Majeure;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Retour Demandeur;RET-04;Resoumission;Demandeur;Nouvelle soumission de la demande;1. Corriger les champs 2. Cliquer sur Resoumettre;La demande repart dans le workflow de validation;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Retour Demandeur;RET-05;Historique;Demandeur;Conservation de l'historique des corrections;1. Ouvrir l'historique de la demande;L'historique conserve la trace des corrections (date, auteur, commentaire);Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DSI;VALD-01;Validation DSI;DSI;Liste des demandes à valider;1. Se connecter en tant que DSI 2. Ouvrir l'écran de validation DSI;La liste affiche uniquement les demandes En attente validation DSI;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
