ID Test,Module,Rôle,Point à vérifier,Statut Implémentation,Criticité,Commentaires
PLAN-15,Validation,DSI,Validation du planning,NON IMPLÉMENTÉ,Bloquante,Pas de vue
PLAN-16,Validation,Directeur métier,Validation du planning,NON IMPLÉMENTÉ,Bloquante,Pas de vue
PLAN-17,Contrôle workflow,Système,Validation unique insuffisante,NON IMPLÉMENTÉ,Bloquante,Logique à implémenter
PLAN-18,Transition workflow,Système,Double validation requise,NON IMPLÉMENTÉ,Bloquante,Logique à implémenter
EXEC-01,Documents,Chef de projet,Upload compte-rendu de réunion,NON IMPLÉMENTÉ,Majeure,Pas de vue
EXEC-02,Documents,Chef de projet,Upload rapport d'avancement,NON IMPLÉMENTÉ,Majeure,Pas de vue
EXEC-03,Commentaires,Chef de projet,Champ commentaire d'avancement,PARTIELLEMENT,Majeure,Champ CommentaireTechnique existe mais pas de vue
EXEC-04,Avancement,Chef de projet,Champ % d'avancement,PARTIELLEMENT,Bloquante,Champ PourcentageAvancement existe mais pas de vue
EXEC-05,Avancement,Chef de projet,Saisie 0 %,NON IMPLÉMENTÉ,Majeure,Pas de vue
EXEC-06,Avancement,Chef de projet,Saisie 50 %,NON IMPLÉMENTÉ,Majeure,Pas de vue
EXEC-07,Avancement,Chef de projet,Saisie 100 %,NON IMPLÉMENTÉ,Majeure,Pas de vue
EXEC-08,Avancement,Système,Saisie >100 %,NON IMPLÉMENTÉ,Bloquante,Validation à implémenter
EXEC-09,Avancement,Système,Saisie négative,NON IMPLÉMENTÉ,Bloquante,Validation à implémenter
EXEC-10,État projet,Chef de projet,Champ statut Vert / Orange / Rouge,PARTIELLEMENT,Majeure,Champ EtatProjet existe mais pas de vue
EXEC-11,Risques,Chef de projet,Mise à jour du registre des risques,NON IMPLÉMENTÉ,Majeure,Pas de vue
EXEC-12,Go / No-Go,Chef de projet,Champ Prêt pour UAT / Recette,NON IMPLÉMENTÉ,Bloquante,Pas de champ ni de vue
EXEC-13,Go / No-Go,Chef de projet,Validation Prêt pour UAT,NON IMPLÉMENTÉ,Bloquante,Pas de vue
EXEC-14,Transition,Système,Passage automatique vers UAT,NON IMPLÉMENTÉ,Bloquante,Logique à implémenter
UAT-01,Documents UAT,Chef de projet / Testeurs,Zone upload Cahier de tests,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-02,Documents UAT,Chef de projet / Testeurs,Zone upload Feuille d'anomalies,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-03,Documents UAT,Chef de projet,Zone upload PV de recette,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-04,Mise en production,Chef de projet / Infra,Zone upload Dossier MEP,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-05,Mise en production,Chef de projet / Infra,Zone upload PV de MEP,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-06,Hypercare,Chef de projet,Zone upload Rapport hypercare,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-07,Statut recette,Chef de projet,Champ Recette validée ?,PARTIELLEMENT,Bloquante,Champ RecetteValidee existe mais pas de vue
UAT-08,Statut MEP,Chef de projet,Champ MEP effectuée ?,PARTIELLEMENT,Bloquante,Champ MepEffectuee existe mais pas de vue
UAT-09,Documents,Chef de projet,Upload Cahier de tests,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-10,Documents,Chef de projet,Upload Feuille d'anomalies,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-11,Documents,Chef de projet,Upload PV recette,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-12,Documents,Chef de projet,Upload Dossier MEP,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-13,Documents,Chef de projet,Upload PV MEP,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-14,Documents,Chef de projet,Upload Rapport hypercare,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-15,Validation recette,Chef de projet,Recette validée = Oui,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-16,Validation MEP,Chef de projet,MEP effectuée = Oui,NON IMPLÉMENTÉ,Bloquante,Pas de vue
UAT-17,Contrôle cohérence,Système,MEP sans PV de MEP,NON IMPLÉMENTÉ,Majeure,Validation à implémenter
UAT-18,Contrôle cohérence,Système,Recette validée sans PV recette,NON IMPLÉMENTÉ,Majeure,Validation à implémenter
UAT-19,Transition,Système,Fin hypercare,NON IMPLÉMENTÉ,Bloquante,Logique à implémenter
CLOT-01,Bilan projet,Chef de projet,Champ Périmètre réalisé,PARTIELLEMENT,Majeure,Champ BilanCloture existe mais pas de vue
CLOT-02,Bilan projet,Chef de projet,Champ Planning réalisé,NON IMPLÉMENTÉ,Majeure,Pas de champ ni de vue
CLOT-03,Bilan projet,Chef de projet,Champ Budget réalisé,NON IMPLÉMENTÉ,Majeure,Pas de champ ni de vue
CLOT-04,Bilan projet,Chef de projet,Champ Difficultés rencontrées,NON IMPLÉMENTÉ,Majeure,Pas de champ ni de vue
CLOT-05,Bilan projet,Chef de projet,Champ Réussites du projet,NON IMPLÉMENTÉ,Majeure,Pas de champ ni de vue
CLOT-06,Leçons apprises,Chef de projet,Champ Ce qui a bien marché,PARTIELLEMENT,Majeure,Champ LeconsApprises existe mais pas de vue
CLOT-07,Leçons apprises,Chef de projet,Champ Ce qui n'a pas marché,NON IMPLÉMENTÉ,Majeure,Pas de champ ni de vue
CLOT-08,Leçons apprises,Chef de projet,Champ Recommandations,NON IMPLÉMENTÉ,Majeure,Pas de champ ni de vue
CLOT-09,Documents,Chef de projet,Upload rapport de clôture,NON IMPLÉMENTÉ,Bloquante,Pas de vue
CLOT-10,Documents,Chef de projet,Upload PV de clôture,NON IMPLÉMENTÉ,Bloquante,Pas de vue
CLOT-11,Documents,Chef de projet / RUN,Upload dossier d'exploitation / RUN,NON IMPLÉMENTÉ,Bloquante,Pas de vue
CLOT-12,Workflow,Chef de projet,Initier demande de clôture,PARTIELLEMENT,Bloquante,Modèle DemandeClotureProjet existe mais pas de vue
CLOT-13,Workflow,Demandeur / Chef de projet,Validation demandeur,NON IMPLÉMENTÉ,Bloquante,Pas de vue
CLOT-14,Workflow,Directeur métier,Validation métier,NON IMPLÉMENTÉ,Bloquante,Pas de vue
CLOT-15,Workflow,DSI,Validation finale DSI,NON IMPLÉMENTÉ,Bloquante,Pas de vue
CLOT-16,Contrôle workflow,Système,Chaîne de validation incomplète,NON IMPLÉMENTÉ,Bloquante,Logique à implémenter
CLOT-17,Portefeuille projets,PMO / DSI,Projet clôturé visible dans portefeuille,PARTIELLEMENT,Majeure,Statut existe mais workflow incomplet
